series,timestamp,value,label
s1,2023-01-22T13:57:01Z,874,
s1,2023-01-22T13:57:02Z,882,
s1,2023-01-22T13:57:03Z,889,
s1,2023-01-22T13:57:04Z,896,
s1,2023-01-22T13:57:05Z,902,
s1,2023-01-22T13:57:06Z,908,
s1,2023-01-22T13:57:07Z,912,
s1,2023-01-22T13:57:08Z,917,
s1,2023-01-22T13:57:09Z,921,
s1,2023-01-22T13:57:10Z,925,
s1,2023-01-22T13:57:11Z,928,
s1,2023-01-22T13:57:12Z,931,
s1,2023-01-22T13:57:13Z,934,
s1,2023-01-22T13:57:14Z,936,
s1,2023-01-22T13:57:15Z,938,
s1,2023-01-22T13:57:16Z,940,
s1,2023-01-22T13:57:17Z,942,
s1,2023-01-22T13:57:18Z,944,
s1,2023-01-22T13:57:19Z,946,
s1,2023-01-22T13:57:20Z,947,
s1,2023-01-22T13:57:21Z,949,
s1,2023-01-22T13:57:22Z,950,
s1,2023-01-22T13:57:23Z,951,
s1,2023-01-22T13:57:24Z,953,
s1,2023-01-22T13:57:25Z,953,
s1,2023-01-22T13:57:26Z,953,
s1,2023-01-22T13:57:27Z,953,
s1,2023-01-22T13:57:28Z,954,
s1,2023-01-22T13:57:29Z,954,
s1,2023-01-22T13:57:30Z,954,
s1,2023-01-22T13:57:31Z,955,
s1,2023-01-22T13:57:32Z,956,
s1,2023-01-22T13:57:33Z,956,
s1,2023-01-22T13:57:34Z,956,
s1,2023-01-22T13:57:35Z,956,
s1,2023-01-22T13:57:36Z,956,
s1,2023-01-22T13:57:37Z,956,
s1,2023-01-22T13:57:38Z,956,
s1,2023-01-22T13:57:39Z,957,
s1,2023-01-22T13:57:40Z,957,
s1,2023-01-22T13:57:41Z,957,
s1,2023-01-22T13:57:42Z,957,
s1,2023-01-22T13:57:43Z,957,
s1,2023-01-22T13:57:44Z,958,
s1,2023-01-22T13:57:45Z,957,
s1,2023-01-22T13:57:46Z,958,
s1,2023-01-22T13:57:47Z,957,
s1,2023-01-22T13:57:48Z,957,
s1,2023-01-22T13:57:49Z,957,
s1,2023-01-22T13:57:50Z,957,
s1,2023-01-22T13:57:51Z,957,
s1,2023-01-22T13:57:52Z,957,
s1,2023-01-22T13:57:53Z,957,
s1,2023-01-22T13:57:54Z,957,
s1,2023-01-22T13:57:55Z,957,
s1,2023-01-22T13:57:56Z,957,
s1,2023-01-22T13:57:57Z,956,
s1,2023-01-22T13:57:58Z,956,
s1,2023-01-22T13:57:59Z,956,
s1,2023-01-22T13:58:00Z,956,
s1,2023-01-22T13:58:01Z,956,
s1,2023-01-22T13:58:02Z,956,
s1,2023-01-22T13:58:03Z,956,
s1,2023-01-22T13:58:04Z,957,
s1,2023-01-22T13:58:05Z,957,
s1,2023-01-22T13:58:06Z,958,
s1,2023-01-22T13:58:07Z,958,
s1,2023-01-22T13:58:08Z,958,
s1,2023-01-22T13:58:09Z,958,
s1,2023-01-22T13:58:10Z,958,
s1,2023-01-22T13:58:11Z,959,
s1,2023-01-22T13:58:12Z,959,
s1,2023-01-22T13:58:13Z,959,
s1,2023-01-22T13:58:14Z,959,
s1,2023-01-22T13:58:15Z,960,
s1,2023-01-22T13:58:16Z,960,
s1,2023-01-22T13:58:17Z,960,
s1,2023-01-22T13:58:18Z,960,
s1,2023-01-22T13:58:19Z,959,
s1,2023-01-22T13:58:20Z,959,
s1,2023-01-22T13:58:21Z,959,
s1,2023-01-22T13:58:22Z,959,
s1,2023-01-22T13:58:23Z,958,
s1,2023-01-22T13:58:24Z,958,
s1,2023-01-22T13:58:25Z,958,
s1,2023-01-22T13:58:26Z,959,
s1,2023-01-22T13:58:27Z,959,
s1,2023-01-22T13:58:28Z,959,
s1,2023-01-22T13:58:29Z,959,
s1,2023-01-22T13:58:30Z,959,
s1,2023-01-22T13:58:31Z,959,
s1,2023-01-22T13:58:32Z,959,
s1,2023-01-22T13:58:33Z,959,
s1,2023-01-22T13:58:34Z,960,
s1,2023-01-22T13:58:35Z,962,
s1,2023-01-22T13:58:36Z,964,
s1,2023-01-22T13:58:37Z,966,
s1,2023-01-22T13:58:38Z,967,
s1,2023-01-22T13:58:39Z,968,
s1,2023-01-22T13:58:40Z,969,
s1,2023-01-22T13:58:41Z,971,
s1,2023-01-22T13:58:42Z,972,
s1,2023-01-22T13:58:43Z,974,
s1,2023-01-22T13:58:44Z,975,
s1,2023-01-22T13:58:45Z,976,
s1,2023-01-22T13:58:46Z,977,
s1,2023-01-22T13:58:47Z,978,
s1,2023-01-22T13:58:48Z,979,
s1,2023-01-22T13:58:49Z,980,
s1,2023-01-22T13:58:50Z,981,
s1,2023-01-22T13:58:51Z,981,
s1,2023-01-22T13:58:52Z,982,
s1,2023-01-22T13:58:53Z,982,
s1,2023-01-22T13:58:54Z,983,
s1,2023-01-22T13:58:55Z,983,
s1,2023-01-22T13:58:56Z,983,
s1,2023-01-22T13:58:57Z,983,
s1,2023-01-22T13:58:58Z,983,
s1,2023-01-22T13:58:59Z,983,
s1,2023-01-22T13:59:00Z,983,
s1,2023-01-22T13:59:01Z,983,
s1,2023-01-22T13:59:02Z,983,
s1,2023-01-22T13:59:03Z,983,
s1,2023-01-22T13:59:04Z,983,
s1,2023-01-22T13:59:05Z,983,
s1,2023-01-22T13:59:06Z,983,
s1,2023-01-22T13:59:07Z,983,
s1,2023-01-22T13:59:08Z,983,
s1,2023-01-22T13:59:09Z,983,
s1,2023-01-22T13:59:10Z,983,
s1,2023-01-22T13:59:11Z,983,
s1,2023-01-22T13:59:12Z,983,
s1,2023-01-22T13:59:13Z,983,
s1,2023-01-22T13:59:14Z,984,
s1,2023-01-22T13:59:15Z,984,
s1,2023-01-22T13:59:16Z,984,
s1,2023-01-22T13:59:17Z,984,
s1,2023-01-22T13:59:18Z,984,
s1,2023-01-22T13:59:19Z,984,
s1,2023-01-22T13:59:20Z,984,
s1,2023-01-22T13:59:21Z,984,
s1,2023-01-22T13:59:22Z,984,
s1,2023-01-22T13:59:23Z,984,
s1,2023-01-22T13:59:24Z,984,
s1,2023-01-22T13:59:25Z,984,
